English Name,Code
Roosevelt Elk,M-CEEL
Mule Deer,M-ODHE
Black Bear,M-URAM
American Black Bear,M-URAM
Racoon,M-PRLO
Cougar,M-PUCO
Grey Wolf,M-CALU
Ermine anguinae,M-MUER
Pacific Marten,M-MACA
Red Squirrel,M-TAHU
Mink,M-NEVI
Beaver,M-CACA
River Otter,M-LOCA
Muskrat,M-ONZI
Vancouver Island Marmot,M-MAVA
